doi,collection,sub_collection,url
doi:10.21410/7E4/DDDHXW,Données de recherche,Agoramétrie,https://data.sciencespo.fr/api/access/datafile/116
doi:10.21410/7E4/MFVUFA,Données de recherche,Baromètre de suivi de l'environnement,https://data.sciencespo.fr/api/access/datafile/9033
doi:10.21410/7E4/TIGPOW,Données de recherche,Enquête interrégionale des phénomènes politiques,https://data.sciencespo.fr/api/access/datafile/9055
doi:10.21410/7E4/DJRAYB,Données de recherche,Enquêtes électorales,https://data.sciencespo.fr/api/access/datafile/9091
doi:10.21410/7E4/GQQZAH,Données de recherche,Image de la science,https://data.sciencespo.fr/api/access/datafile/359
doi:10.21410/7E4/NNX14W,ELIPSS,Dynamiques de mobilisation,https://data.sciencespo.fr/api/access/datafile/914
doi:10.21410/7E4/2I4VC0,ELIPSS,Faire face au Covid-19,
doi:10.21410/7E4/I5KTVF,ELIPSS,Pratiques numériques,https://data.sciencespo.fr/api/access/datafile/5931
doi:10.21410/7E4/AAZEFB,ELIPSS,Enquêtes annuelles,https://data.sciencespo.fr/api/access/datafile/9219
doi:10.21410/7E4/DG1NAC,ELIPSS,Enquêtes annuelles,https://data.sciencespo.fr/api/access/datafile/9132
